artist,album,rank,year,reviewer_url
Girlpool,Before the World Was Big,119,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Leonard Cohen,You Want It Darker,118,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Death Grips,The Money Store,117,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Janelle Monáe,The ArchAndroid,116,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
U.S. Girls,In a Poem Unlimited,115,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sampha,Process,114,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Japandroids,Celebration Rock,113,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Daft Punk,Random Access Memories,112,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
EMA,Past Life Martyred Saints,111,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Waka Flocka Flame,Flockaveli,110,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Julia Holter,Aviary,109,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kaytranada,99.9%,108,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Dirty Projectors,Swing Lo Magellan,107,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Moses Sumney,Aromanticism,106,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Disclosure,Settle,105,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Waxahatchee,Cerulean Salt,104,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Helado Negro,This Is How You Smile,103,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jeremih,Late Nights: The Album,102,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chromatics,Kill for Love,101,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Ariana Grande,Sweetener,100,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bad Bunny,X 100PRE,99,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Todd Terje,It’s Album Time,98,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The War on Drugs,Lost in the Dream,97,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Low,Double Negative,96,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jai Paul,Leak 04-13 (Bait Ones),95,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Vampire Weekend,Contra,94,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tirzah,Devotion,93,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
JAY-Z & Kanye West,Watch the Throne,92,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bon Iver,"22, A Million",91,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Joyce Manor,Never Hungover Again,90,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Caribou,Our Love,89,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jenny Hval,"Apocalypse, girl",88,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rae Sremmurd,SremmLife,87,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Haim,Days Are Gone,86,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jessica Pratt,On Your Own Love Again,85,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chance the Rapper,Acid Rap,84,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
